pool_rank,publication_number,selected_for_generation,mode,strategy,strategy_name,expected_question_count
1,EP-4633662-A1,yes,technical,1,random_any,1
2,EP-4630509-A1,yes,technical,1,random_any,1
3,EP-4634248-A1,yes,technical,1,random_any,1
4,EP-4634187-A1,yes,technical,1,random_any,1
5,EP-4634142-A1,yes,technical,1,random_any,1
6,EP-4633768-A2,yes,technical,1,random_any,1
7,EP-4633645-A1,yes,technical,1,random_any,1
8,EP-4633622-A2,yes,technical,1,random_any,1
9,EP-4634601-A1,yes,technical,1,random_any,1
10,EP-4630626-A1,yes,technical,1,random_any,1
11,EP-4630600-A1,yes,technical,1,random_any,1
12,EP-4633632-A1,yes,technical,1,random_any,1
13,EP-4634136-A1,yes,technical,1,random_any,1
14,EP-4634157-A1,yes,technical,2,random_missing,1
15,EP-4630574-A1,yes,technical,2,random_missing,1
16,EP-4634111-A1,yes,technical,2,random_missing,1
17,EP-4634596-A1,yes,technical,2,random_missing,1
18,EP-4634139-A1,yes,technical,2,random_missing,1
19,WO-2025153617-A3,yes,technical,2,random_missing,1
20,EP-4634251-A1,yes,technical,2,random_missing,1
21,EP-4634426-A1,yes,technical,2,random_missing,1
22,EP-4634729-A1,yes,technical,2,random_missing,1
23,EP-4626569-A1,yes,technical,2,random_missing,1
24,EP-4634394-A2,yes,technical,2,random_missing,1
25,EP-4634424-A1,yes,technical,2,random_missing,1
26,EP-4633602-A1,yes,technical,2,random_missing,1
27,EP-4634337-A1,yes,technical,3,random_existing,1
28,EP-4634128-A1,yes,technical,3,random_existing,1
29,EP-4633896-A1,yes,technical,3,random_existing,1
30,WO-2025215091-A1,yes,technical,3,random_existing,1
31,EP-4633599-A1,yes,technical,3,random_existing,1
32,EP-4633656-A1,yes,technical,3,random_existing,1
33,WO-2025208167-A1,yes,technical,3,random_existing,1
34,EP-4634396-A1,yes,technical,3,random_existing,1
35,EP-4633893-A1,yes,technical,3,random_existing,1
36,EP-4633462-A1,yes,technical,3,random_existing,1
37,EP-4633386-A1,yes,technical,3,random_existing,1
38,EP-4633970-A1,yes,technical,3,random_existing,1
39,EP-4633415-A1,yes,technical,4,all,4
40,EP-4633950-A1,yes,technical,4,all,4
41,EP-4634629-A1,yes,technical,4,all,4
42,EP-4633904-A1,no,,,,0
43,EP-4634280-A1,no,,,,0
44,EP-4633735-A1,no,,,,0
45,EP-4634425-A1,no,,,,0
46,EP-4630411-A1,no,,,,0
47,EP-4634366-A1,no,,,,0
48,EP-4634150-A1,no,,,,0
49,EP-4634241-A1,no,,,,0
50,EP-4633578-A1,no,,,,0
51,WO-2025201828-A1,no,,,,0
52,EP-4633969-A1,no,,,,0
53,EP-4633361-A1,no,,,,0
