model,query_id,query_language,concept_name,best_gold_rank,best_hardneg_rank,win,top_neighbor_name,top_relation
alibaba-nlp-gte-multilingual-base,CHEBI_15138__en,en,sulfide(2-),,238,1,sulfate,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_15138__de,de,sulfide(2-),72,57,1,sulfate,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_15138__fr,fr,sulfide(2-),752,38,1,sulfate,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_30488__en,en,sulfonium,306,376,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_30488__de,de,sulfonium,604,246,1,ammonium,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_30488__fr,fr,sulfonium,,405,1,ammonium,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_30488__es,es,sulfonium,240,1,1,ammonium,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_30488__zh,zh,sulfonium,,427,1,sulfanyl,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16716__en,en,benzene,221,34,1,ethanol,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16716__fr,fr,benzene,151,14,1,ethanol,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16716__de,de,benzene,155,4,1,ethanol,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16716__zh,zh,benzene,,112,1,cyclopentane,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16716__es,es,benzene,12,65,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17359__en,en,sulfite,10,84,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17359__de,de,sulfite,73,25,1,sulfate,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17359__fr,fr,sulfite,278,4,1,sulfate,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17359__zh,zh,sulfite,,309,1,sulfate,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17359__es,es,sulfite,155,9,1,sulfate,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17115__en,en,L-serine,973,,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17115__de,de,L-serine,,7,1,L-glutamic acid,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17115__fr,fr,L-serine,58,22,1,glycine,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17967__en,en,urethane,3,,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17115__zh,zh,L-serine,144,256,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17967__de,de,urethane,23,,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17967__fr,fr,urethane,59,115,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17967__es,es,urethane,5,294,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17967__zh,zh,urethane,393,,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17967__en__27,en,urethane,100,,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17967__de__28,de,urethane,26,,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17967__fr__29,fr,urethane,4,956,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17967__es__30,es,urethane,29,744,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16541__en,en,protein polypeptide chain,28,1,1,polypeptide,parent
alibaba-nlp-gte-multilingual-base,CHEBI_17967__zh__32,zh,urethane,379,,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16541__de,de,protein polypeptide chain,91,12,1,polypeptide,parent
alibaba-nlp-gte-multilingual-base,CHEBI_16541__fr,fr,protein polypeptide chain,64,5,1,polypeptide,parent
alibaba-nlp-gte-multilingual-base,CHEBI_16541__es,es,protein polypeptide chain,88,2,1,polypeptide,parent
alibaba-nlp-gte-multilingual-base,CHEBI_16541__zh,zh,protein polypeptide chain,44,77,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16898__en,en,pyrimidine,252,,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16898__es,es,pyrimidine,435,,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16898__zh,zh,pyrimidine,61,125,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29309__de,de,methyl,42,15,1,ethyl,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_29309__en,en,methyl,34,50,0,,
