model,short,K,RRC,dRRC_per100
google/embeddinggemma-300m,embeddinggemma,1,0.189781,18.248175
google/embeddinggemma-300m,embeddinggemma,2,0.372263,3.649635
google/embeddinggemma-300m,embeddinggemma,3,0.408759,2.919708
google/embeddinggemma-300m,embeddinggemma,5,0.467153,1.021898
google/embeddinggemma-300m,embeddinggemma,10,0.518248,0.656934
google/embeddinggemma-300m,embeddinggemma,20,0.583942,0.218978
google/embeddinggemma-300m,embeddinggemma,30,0.605839,0.218978
google/embeddinggemma-300m,embeddinggemma,50,0.649635,0.175182
google/embeddinggemma-300m,embeddinggemma,75,0.693431,0.087591
google/embeddinggemma-300m,embeddinggemma,100,0.715328,0.10219
google/embeddinggemma-300m,embeddinggemma,150,0.766423,0.072993
google/embeddinggemma-300m,embeddinggemma,200,0.80292,0.043796
google/embeddinggemma-300m,embeddinggemma,300,0.846715,0.021898
google/embeddinggemma-300m,embeddinggemma,500,0.890511,0.005839
google/embeddinggemma-300m,embeddinggemma,750,0.905109,0.00292
google/embeddinggemma-300m,embeddinggemma,1000,0.912409,
BAAI/bge-m3,bge-m3,1,0.211679,9.489051
BAAI/bge-m3,bge-m3,2,0.306569,6.569343
BAAI/bge-m3,bge-m3,3,0.372263,2.554745
BAAI/bge-m3,bge-m3,5,0.423358,1.021898
BAAI/bge-m3,bge-m3,10,0.474453,0.656934
BAAI/bge-m3,bge-m3,20,0.540146,0.145985
BAAI/bge-m3,bge-m3,30,0.554745,0.255474
BAAI/bge-m3,bge-m3,50,0.605839,0.029197
BAAI/bge-m3,bge-m3,75,0.613139,0.145985
BAAI/bge-m3,bge-m3,100,0.649635,0.072993
BAAI/bge-m3,bge-m3,150,0.686131,0.043796
BAAI/bge-m3,bge-m3,200,0.708029,0.051095
BAAI/bge-m3,bge-m3,300,0.759124,0.025547
BAAI/bge-m3,bge-m3,500,0.810219,0.017518
BAAI/bge-m3,bge-m3,750,0.854015,0.008759
BAAI/bge-m3,bge-m3,1000,0.875912,
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,1,0.20438,8.029197
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,2,0.284672,2.189781
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,3,0.306569,4.744526
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,5,0.40146,1.313869
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,10,0.467153,0.291971
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,20,0.49635,0.291971
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,30,0.525547,0.40146
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,50,0.605839,0.116788
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,75,0.635036,0.087591
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,100,0.656934,0.072993
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,150,0.693431,0.058394
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,200,0.722628,0.036496
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,300,0.759124,0.032847
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,500,0.824818,0.023358
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,750,0.883212,0.008759
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,1000,0.905109,
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,1,0.189781,10.218978
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,2,0.291971,3.649635
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,3,0.328467,2.189781
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,5,0.372263,1.021898
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,10,0.423358,0.218978
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,20,0.445255,0.656934
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,30,0.510949,0.437956
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,50,0.59854,0.145985
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,75,0.635036,0.145985
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,100,0.671533,0.072993
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,150,0.708029,0.058394
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,200,0.737226,0.036496
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,300,0.773723,0.018248
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,500,0.810219,0.017518
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,750,0.854015,0.011679
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,1000,0.883212,
ibm-granite/granite-embedding-278m-multilingual,granite-278m,1,0.160584,7.29927
ibm-granite/granite-embedding-278m-multilingual,granite-278m,2,0.233577,5.839416
ibm-granite/granite-embedding-278m-multilingual,granite-278m,3,0.291971,0.729927
ibm-granite/granite-embedding-278m-multilingual,granite-278m,5,0.306569,1.167883
ibm-granite/granite-embedding-278m-multilingual,granite-278m,10,0.364964,0.656934
ibm-granite/granite-embedding-278m-multilingual,granite-278m,20,0.430657,0.510949
ibm-granite/granite-embedding-278m-multilingual,granite-278m,30,0.481752,0.182482
ibm-granite/granite-embedding-278m-multilingual,granite-278m,50,0.518248,0.262774
ibm-granite/granite-embedding-278m-multilingual,granite-278m,75,0.583942,0.116788
ibm-granite/granite-embedding-278m-multilingual,granite-278m,100,0.613139,0.043796
ibm-granite/granite-embedding-278m-multilingual,granite-278m,150,0.635036,0.043796
ibm-granite/granite-embedding-278m-multilingual,granite-278m,200,0.656934,0.036496
ibm-granite/granite-embedding-278m-multilingual,granite-278m,300,0.693431,0.021898
ibm-granite/granite-embedding-278m-multilingual,granite-278m,500,0.737226,0.017518
ibm-granite/granite-embedding-278m-multilingual,granite-278m,750,0.781022,0.008759
ibm-granite/granite-embedding-278m-multilingual,granite-278m,1000,0.80292,
sentence-transformers/LaBSE,LaBSE,1,0.160584,5.109489
sentence-transformers/LaBSE,LaBSE,2,0.211679,2.189781
sentence-transformers/LaBSE,LaBSE,3,0.233577,1.094891
sentence-transformers/LaBSE,LaBSE,5,0.255474,0.875912
sentence-transformers/LaBSE,LaBSE,10,0.29927,0.291971
sentence-transformers/LaBSE,LaBSE,20,0.328467,0.583942
sentence-transformers/LaBSE,LaBSE,30,0.386861,0.40146
sentence-transformers/LaBSE,LaBSE,50,0.467153,0.058394
sentence-transformers/LaBSE,LaBSE,75,0.481752,0.087591
sentence-transformers/LaBSE,LaBSE,100,0.50365,0.145985
sentence-transformers/LaBSE,LaBSE,150,0.576642,0.072993
sentence-transformers/LaBSE,LaBSE,200,0.613139,0.043796
sentence-transformers/LaBSE,LaBSE,300,0.656934,0.029197
sentence-transformers/LaBSE,LaBSE,500,0.715328,0.026277
sentence-transformers/LaBSE,LaBSE,750,0.781022,0.014599
sentence-transformers/LaBSE,LaBSE,1000,0.817518,
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,1,0.116788,0.729927
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,2,0.124088,0.729927
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,3,0.131387,0.729927
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,5,0.145985,1.313869
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,10,0.211679,0.583942
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,20,0.270073,0.583942
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,30,0.328467,0.145985
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,50,0.357664,0.145985
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,75,0.394161,0.145985
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,100,0.430657,0.058394
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,150,0.459854,0.058394
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,200,0.489051,0.087591
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,300,0.576642,0.032847
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,500,0.642336,0.026277
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,750,0.708029,0.008759
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,1000,0.729927,
intfloat/multilingual-e5-large-instruct,e5-large-instruct,1,0.007299,2.919708
intfloat/multilingual-e5-large-instruct,e5-large-instruct,2,0.036496,1.459854
intfloat/multilingual-e5-large-instruct,e5-large-instruct,3,0.051095,0.364964
intfloat/multilingual-e5-large-instruct,e5-large-instruct,5,0.058394,0.437956
intfloat/multilingual-e5-large-instruct,e5-large-instruct,10,0.080292,0.437956
intfloat/multilingual-e5-large-instruct,e5-large-instruct,20,0.124088,0.072993
intfloat/multilingual-e5-large-instruct,e5-large-instruct,30,0.131387,0.255474
intfloat/multilingual-e5-large-instruct,e5-large-instruct,50,0.182482,0.087591
intfloat/multilingual-e5-large-instruct,e5-large-instruct,75,0.20438,0.116788
intfloat/multilingual-e5-large-instruct,e5-large-instruct,100,0.233577,0.145985
intfloat/multilingual-e5-large-instruct,e5-large-instruct,150,0.306569,0.058394
intfloat/multilingual-e5-large-instruct,e5-large-instruct,200,0.335766,0.080292
intfloat/multilingual-e5-large-instruct,e5-large-instruct,300,0.416058,0.047445
intfloat/multilingual-e5-large-instruct,e5-large-instruct,500,0.510949,0.026277
intfloat/multilingual-e5-large-instruct,e5-large-instruct,750,0.576642,0.011679
intfloat/multilingual-e5-large-instruct,e5-large-instruct,1000,0.605839,
