short,qlang,dlang,recall_at_10,n_pairs
LaBSE,de,de,0.42857142857142855,7
LaBSE,de,en,0.047619047619047616,21
LaBSE,de,fr,0.37037037037037035,27
LaBSE,de,zh,0.125,8
LaBSE,en,de,0.14285714285714285,7
LaBSE,en,en,0.23809523809523808,21
LaBSE,en,fr,0.25925925925925924,27
LaBSE,en,zh,0.25,8
LaBSE,es,de,0.4166666666666667,12
LaBSE,es,en,0.037037037037037035,27
LaBSE,es,fr,0.3235294117647059,34
LaBSE,es,zh,0.15384615384615385,13
LaBSE,fr,de,0.3333333333333333,9
LaBSE,fr,en,0.0,19
LaBSE,fr,fr,0.5185185185185185,27
LaBSE,fr,zh,0.125,8
LaBSE,zh,de,0.25,4
LaBSE,zh,en,0.3684210526315789,19
LaBSE,zh,fr,0.4090909090909091,22
LaBSE,zh,zh,0.5,2
SapBERT,de,de,0.42857142857142855,7
SapBERT,de,en,0.23809523809523808,21
SapBERT,de,fr,0.2962962962962963,27
SapBERT,de,zh,0.25,8
SapBERT,en,de,0.14285714285714285,7
SapBERT,en,en,0.3333333333333333,21
SapBERT,en,fr,0.07407407407407407,27
SapBERT,en,zh,0.0,8
SapBERT,es,de,0.25,12
SapBERT,es,en,0.18518518518518517,27
SapBERT,es,fr,0.11764705882352941,34
SapBERT,es,zh,0.15384615384615385,13
SapBERT,fr,de,0.2222222222222222,9
SapBERT,fr,en,0.15789473684210525,19
SapBERT,fr,fr,0.25925925925925924,27
SapBERT,fr,zh,0.125,8
SapBERT,zh,de,0.0,4
SapBERT,zh,en,0.21052631578947367,19
SapBERT,zh,fr,0.2727272727272727,22
SapBERT,zh,zh,0.5,2
bge-m3,de,de,0.7142857142857143,7
bge-m3,de,en,0.5238095238095238,21
bge-m3,de,fr,0.4074074074074074,27
bge-m3,de,zh,0.5,8
bge-m3,en,de,0.14285714285714285,7
bge-m3,en,en,0.6190476190476191,21
bge-m3,en,fr,0.37037037037037035,27
bge-m3,en,zh,0.125,8
bge-m3,es,de,0.5,12
bge-m3,es,en,0.5185185185185185,27
bge-m3,es,fr,0.5294117647058824,34
bge-m3,es,zh,0.38461538461538464,13
bge-m3,fr,de,0.2222222222222222,9
bge-m3,fr,en,0.42105263157894735,19
bge-m3,fr,fr,0.5185185185185185,27
bge-m3,fr,zh,0.25,8
bge-m3,zh,de,0.25,4
bge-m3,zh,en,0.5789473684210527,19
bge-m3,zh,fr,0.4090909090909091,22
bge-m3,zh,zh,1.0,2
e5-large-instruct,de,de,0.7142857142857143,7
e5-large-instruct,de,en,0.09523809523809523,21
e5-large-instruct,de,fr,0.07407407407407407,27
e5-large-instruct,de,zh,0.0,8
e5-large-instruct,en,de,0.0,7
e5-large-instruct,en,en,0.6190476190476191,21
e5-large-instruct,en,fr,0.14814814814814814,27
e5-large-instruct,en,zh,0.0,8
e5-large-instruct,es,de,0.0,12
e5-large-instruct,es,en,0.037037037037037035,27
e5-large-instruct,es,fr,0.029411764705882353,34
e5-large-instruct,es,zh,0.0,13
e5-large-instruct,fr,de,0.0,9
e5-large-instruct,fr,en,0.05263157894736842,19
e5-large-instruct,fr,fr,0.5925925925925926,27
e5-large-instruct,fr,zh,0.0,8
e5-large-instruct,zh,de,0.0,4
e5-large-instruct,zh,en,0.2631578947368421,19
e5-large-instruct,zh,fr,0.045454545454545456,22
e5-large-instruct,zh,zh,1.0,2
embeddinggemma,de,de,0.7142857142857143,7
embeddinggemma,de,en,0.5714285714285714,21
embeddinggemma,de,fr,0.6296296296296297,27
embeddinggemma,de,zh,0.625,8
embeddinggemma,en,de,0.14285714285714285,7
embeddinggemma,en,en,0.6666666666666666,21
embeddinggemma,en,fr,0.4444444444444444,27
embeddinggemma,en,zh,0.25,8
embeddinggemma,es,de,0.5,12
embeddinggemma,es,en,0.4444444444444444,27
embeddinggemma,es,fr,0.5882352941176471,34
embeddinggemma,es,zh,0.46153846153846156,13
embeddinggemma,fr,de,0.2222222222222222,9
embeddinggemma,fr,en,0.42105263157894735,19
embeddinggemma,fr,fr,0.6296296296296297,27
embeddinggemma,fr,zh,0.25,8
embeddinggemma,zh,de,0.5,4
embeddinggemma,zh,en,0.5263157894736842,19
embeddinggemma,zh,fr,0.5909090909090909,22
embeddinggemma,zh,zh,1.0,2
granite-278m,de,de,0.7142857142857143,7
granite-278m,de,en,0.38095238095238093,21
granite-278m,de,fr,0.3333333333333333,27
granite-278m,de,zh,0.5,8
granite-278m,en,de,0.14285714285714285,7
granite-278m,en,en,0.47619047619047616,21
granite-278m,en,fr,0.25925925925925924,27
granite-278m,en,zh,0.375,8
