model,short,query_id,query_language,src_language,origin,patent,n_gold,n_gold_same,n_gold_cross,mrr_at_10,ndcg_at_10,first_gold_rank,first_cross_rank,mate_mrr,foreign_share_at_10,lang_entropy_at_10,recall_at_1,clir_at_1,molir_at_1,recall_at_5,clir_at_5,molir_at_5,recall_at_10,clir_at_10,molir_at_10,recall_at_20,clir_at_20,molir_at_20,recall_at_50,clir_at_50,molir_at_50,recall_at_100,clir_at_100,molir_at_100,mate_hit_1,mate_hit_5,mate_hit_10,mate_hit_20,mate_hit_50,mate_hit_100
google/embeddinggemma-300m,embeddinggemma,EP-4633662-A1_en_q_en,en,en,original,EP-4633662-A1,3,1,2,0.0,0.0,244.0,inf,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630509-A1_fr_q_fr,fr,fr,original,EP-4630509-A1,3,1,2,1.0,0.46927872602275644,1.0,112.0,0.008928571428571428,0.1,0.4689955935892812,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634248-A1_en_q_es,es,en,synthetic,EP-4634248-A1,3,0,3,0.0,0.0,123.0,123.0,0.008130081300813009,0.6,1.8464393446710154,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634187-A1_en_q_es,es,en,synthetic,EP-4634187-A1,3,0,3,0.0,0.0,26.0,26.0,0.038461538461538464,0.3,1.3567796494470397,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3333333333333333,0.3333333333333333,,0.6666666666666666,0.6666666666666666,,0.0,0.0,0.0,0.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634142-A1_fr_q_fr,fr,fr,original,EP-4634142-A1,3,1,2,0.0,0.0,305.0,343.0,0.0029154518950437317,0.2,0.7219280948873623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633768-A2_en_q_es,es,en,synthetic,EP-4633768-A2,3,0,3,0.0,0.0,inf,inf,0.0,0.6,1.9219280948873623,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633645-A1_fr_q_fr,fr,fr,original,EP-4633645-A1,3,1,2,0.0,0.0,25.0,37.0,0.02702702702702703,0.5,1.360964047443681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633622-A2_en_q_de,de,en,synthetic,EP-4633622-A2,3,0,3,1.0,0.7653606369886217,1.0,1.0,1.0,1.0,1.295461844238322,0.3333333333333333,0.3333333333333333,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,1.0,1.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634601-A1_en_q_en,en,en,original,EP-4634601-A1,3,1,2,0.25,0.35853358850813305,4.0,7.0,0.14285714285714285,0.4,1.295461844238322,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4630626-A1_de_q_de,de,de,original,EP-4630626-A1,3,1,2,1.0,0.7653606369886217,1.0,2.0,0.5,0.9,1.360964047443681,0.3333333333333333,0.0,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4630600-A1_de_q_en,en,de,synthetic,EP-4630600-A1,3,0,3,0.0,0.0,123.0,123.0,0.008130081300813009,0.4,0.9709505944546686,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633632-A1_en_q_es,es,en,synthetic,EP-4633632-A1,3,0,3,0.16666666666666666,0.3152014104491349,6.0,6.0,0.16666666666666666,0.6,1.8464393446710154,0.0,0.0,,0.0,0.0,,0.6666666666666666,0.6666666666666666,,1.0,1.0,,1.0,1.0,,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_es,es,en,synthetic,EP-4634136-A1,3,0,3,0.0,0.0,177.0,177.0,0.005649717514124294,0.3,1.1567796494470395,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634157-A1_en_q_de,de,en,synthetic,EP-4634157-A1,3,0,3,0.0,0.0,113.0,113.0,0.008849557522123894,0.9,1.8464393446710154,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630574-A1_de_q_en,en,de,synthetic,EP-4630574-A1,3,0,3,0.0,0.0,inf,inf,0.0,0.2,0.7219280948873623,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634111-A1_en_q_de,de,en,synthetic,EP-4634111-A1,3,0,3,0.0,0.0,156.0,156.0,0.00641025641025641,0.5,1.360964047443681,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_es,es,en,synthetic,EP-4634596-A1,3,0,3,0.0,0.0,322.0,322.0,0.003105590062111801,1.0,0.7219280948873623,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634139-A1_en_q_es,es,en,synthetic,EP-4634139-A1,3,0,3,0.5,0.5307212739772434,2.0,2.0,0.5,0.4,1.5709505944546687,0.0,0.0,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.0,1.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,WO-2025153617-A3_de_q_en,en,de,synthetic,WO-2025153617-A3,3,0,3,0.0,0.0,63.0,63.0,0.015873015873015872,0.1,0.4689955935892812,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.6666666666666666,0.6666666666666666,,0.0,0.0,0.0,0.0,0.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634251-A1_en_q_es,es,en,synthetic,EP-4634251-A1,3,0,3,0.0,0.0,971.0,971.0,0.0010298661174047373,0.8,1.5219280948873621,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634426-A1_en_q_es,es,en,synthetic,EP-4634426-A1,3,0,3,0.0,0.0,107.0,107.0,0.009345794392523364,0.8,1.3709505944546687,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634729-A1_en_q_de,de,en,synthetic,EP-4634729-A1,2,0,2,1.0,1.0,1.0,1.0,1.0,0.6,1.5219280948873621,0.5,0.5,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4626569-A1_de_q_en,en,de,synthetic,EP-4626569-A1,2,0,2,0.25,0.2640681225725909,4.0,4.0,0.25,0.4,0.9709505944546686,0.0,0.0,,0.5,0.5,,0.5,0.5,,0.5,0.5,,0.5,0.5,,0.5,0.5,,0.0,1.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634394-A2_en_q_es,es,en,synthetic,EP-4634394-A2,2,0,2,1.0,0.8772153153380493,1.0,1.0,1.0,0.5,1.4854752972273344,0.5,0.5,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634424-A1_en_q_es,es,en,synthetic,EP-4634424-A1,2,0,2,0.0,0.0,63.0,63.0,0.015873015873015872,0.3,1.1567796494470395,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633602-A1_en_q_de,de,en,synthetic,EP-4633602-A1,2,0,2,0.0,0.0,inf,inf,0.0,0.8,1.4854752972273344,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634337-A1_en_q_en,en,en,original,EP-4634337-A1,2,1,1,0.16666666666666666,0.21840743681816419,6.0,19.0,0.05263157894736842,0.3,0.8812908992306927,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634128-A1_en_q_en,en,en,original,EP-4634128-A1,2,1,1,1.0,1.0,1.0,2.0,0.5,0.2,0.7219280948873623,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633896-A1_en_q_en,en,en,original,EP-4633896-A1,2,1,1,0.5,0.38685280723454163,2.0,247.0,0.004048582995951417,0.1,0.4689955935892812,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025215091-A1_fr_q_fr,fr,fr,original,WO-2025215091-A1,2,1,1,1.0,0.9197207891481876,1.0,1.0,1.0,0.1,0.4689955935892812,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633599-A1_fr_q_fr,fr,fr,original,EP-4633599-A1,2,1,1,0.5,0.5912352048230277,2.0,7.0,0.14285714285714285,0.5,1.4854752972273344,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633656-A1_fr_q_fr,fr,fr,original,EP-4633656-A1,2,1,1,0.0,0.0,340.0,inf,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025208167-A1_de_q_de,de,de,original,WO-2025208167-A1,2,1,1,0.0,0.0,794.0,inf,0.0,0.9,1.6854752972273344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634396-A1_fr_q_fr,fr,fr,original,EP-4634396-A1,2,1,1,1.0,1.0,1.0,2.0,0.5,0.5,1.4854752972273344,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633893-A1_fr_q_fr,fr,fr,original,EP-4633893-A1,2,1,1,0.3333333333333333,0.3065735963827292,3.0,82.0,0.012195121951219513,0.0,-0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633462-A1_en_q_en,en,en,original,EP-4633462-A1,2,1,1,1.0,1.0,1.0,2.0,0.5,0.4,1.295461844238322,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633386-A1_en_q_en,en,en,original,EP-4633386-A1,2,1,1,0.0,0.0,114.0,212.0,0.0047169811320754715,0.5,1.7609640474436812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633970-A1_fr_q_fr,fr,fr,original,EP-4633970-A1,2,1,1,0.25,0.2640681225725909,4.0,15.0,0.06666666666666667,0.0,-0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_en,en,en,original,EP-4633415-A1,2,1,1,1.0,0.6131471927654584,1.0,11.0,0.09090909090909091,0.2,0.9219280948873623,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
