model,short,query_id,qlang,origin,auc_all,auc_same,auc_cross,margin_cross,norm_score_cross
google/embeddinggemma-300m,embeddinggemma,EP-4633662-A1_en_q_en,en,original,0.7567567567567568,0.7567567567567568,,,
google/embeddinggemma-300m,embeddinggemma,EP-4630509-A1_fr_q_fr,fr,original,0.9448897795591181,1.0,0.8897795591182365,-0.33364986091405696,0.14973003439878332
google/embeddinggemma-300m,embeddinggemma,EP-4634248-A1_en_q_es,es,synthetic,0.8778778778778779,,0.8778778778778779,-0.5776714268324717,0.21259602321445992
google/embeddinggemma-300m,embeddinggemma,EP-4634187-A1_en_q_es,es,synthetic,0.9584168336673347,,0.9584168336673347,-0.32844725191663954,0.39270130261603026
google/embeddinggemma-300m,embeddinggemma,EP-4634142-A1_fr_q_fr,fr,original,0.6768537074148296,0.6953907815631263,0.658316633266533,-0.7990935757511693,0.03753868562684937
google/embeddinggemma-300m,embeddinggemma,EP-4633645-A1_fr_q_fr,fr,original,0.970440881763527,0.9759519038076152,0.9649298597194389,-0.39887842607679586,0.41715038326326165
google/embeddinggemma-300m,embeddinggemma,EP-4633622-A2_en_q_de,de,synthetic,1.0,,1.0,0.2013471668784465,0.8165741171581867
google/embeddinggemma-300m,embeddinggemma,EP-4634601-A1_en_q_en,en,original,0.995991983967936,0.9969939879759518,0.9949899799599198,-0.28383620866792136,0.5320640459002449
google/embeddinggemma-300m,embeddinggemma,EP-4630626-A1_de_q_de,de,original,1.0,1.0,1.0,0.13092060687507254,0.8672300335325642
google/embeddinggemma-300m,embeddinggemma,EP-4630600-A1_de_q_en,en,synthetic,0.8171342685370742,,0.8171342685370742,-0.6299997804706708,0.14017195679557198
google/embeddinggemma-300m,embeddinggemma,EP-4633632-A1_en_q_es,es,synthetic,0.9923102641257104,,0.9923102641257104,-0.11937621121537657,0.7110984515616461
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_es,es,synthetic,0.6658316633266533,,0.6658316633266533,-0.591792135548965,0.0636326293194317
google/embeddinggemma-300m,embeddinggemma,EP-4634157-A1_en_q_de,de,synthetic,0.8707414829659319,,0.8707414829659319,-0.5794409503843465,0.2063393523595059
google/embeddinggemma-300m,embeddinggemma,EP-4634111-A1_en_q_de,de,synthetic,0.779058116232465,,0.779058116232465,-0.6631864371475756,0.10285089691978268
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_es,es,synthetic,0.6688376753507014,,0.6688376753507014,-0.745332351066859,0.03965966707455941
google/embeddinggemma-300m,embeddinggemma,EP-4634139-A1_en_q_es,es,synthetic,0.998997995991984,,0.998997995991984,-0.07393108020493629,0.7647338970291547
