model,depth,n,mean_cos,mrr,recall_at_1,recall_at_10,recall_at_100,median_rank
Alibaba-NLP/gte-multilingual-base,0,134,0.7704206740678247,0.012084343263856528,0.007462686567164179,0.014925373134328358,0.03731343283582089,6636.0
Alibaba-NLP/gte-multilingual-base,1,134,0.7706812580129994,0.012157596267411317,0.007462686567164179,0.014925373134328358,0.04477611940298507,6732.5
Alibaba-NLP/gte-multilingual-base,2,134,0.770256582480758,0.008910992798021418,0.007462686567164179,0.007462686567164179,0.03731343283582089,6926.0
Alibaba-NLP/gte-multilingual-base,3,134,0.7694582276379884,0.008311259990442946,0.007462686567164179,0.007462686567164179,0.022388059701492536,6851.5
Alibaba-NLP/gte-multilingual-base,4,134,0.769198299788717,0.011803313552071811,0.007462686567164179,0.014925373134328358,0.022388059701492536,7210.0
Alibaba-NLP/gte-multilingual-base,5,134,0.7693682775568607,0.011808033262589935,0.007462686567164179,0.014925373134328358,0.022388059701492536,7102.5
BAAI/bge-m3,0,134,0.5744572319646379,0.5659431949771071,0.5074626865671642,0.664179104477612,0.7611940298507462,1.0
BAAI/bge-m3,1,134,0.5750612987956004,0.5932057682505002,0.5522388059701493,0.6865671641791045,0.7686567164179104,1.0
BAAI/bge-m3,2,134,0.5713566463829866,0.5623213206238573,0.5223880597014925,0.664179104477612,0.7611940298507462,1.0
BAAI/bge-m3,3,134,0.5706088198209877,0.568729390618063,0.5298507462686567,0.6716417910447762,0.7686567164179104,1.0
BAAI/bge-m3,4,134,0.569407248897339,0.5648766496646456,0.5223880597014925,0.6567164179104478,0.7835820895522388,1.0
BAAI/bge-m3,5,134,0.568274302936312,0.5563572671502998,0.5074626865671642,0.6417910447761194,0.7761194029850746,1.0
Qwen/Qwen3-Embedding-0.6B,0,134,0.5574619050568609,0.5094365559445067,0.4552238805970149,0.6268656716417911,0.7910447761194029,3.0
Qwen/Qwen3-Embedding-0.6B,1,134,0.5597527870046559,0.5084558118447756,0.44776119402985076,0.6343283582089553,0.7985074626865671,2.5
Qwen/Qwen3-Embedding-0.6B,2,134,0.554521096286489,0.5025675646546872,0.44776119402985076,0.6119402985074627,0.7611940298507462,2.5
Qwen/Qwen3-Embedding-0.6B,3,134,0.5527296144126067,0.5033558326706733,0.44776119402985076,0.6119402985074627,0.7686567164179104,2.5
Qwen/Qwen3-Embedding-0.6B,4,134,0.5503511218659913,0.4868762795073258,0.417910447761194,0.5970149253731343,0.7686567164179104,2.5
Qwen/Qwen3-Embedding-0.6B,5,134,0.5498667946502344,0.4927905731260749,0.43283582089552236,0.5746268656716418,0.7686567164179104,2.5
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,0,134,0.7509803585152128,0.26687272578236865,0.20149253731343283,0.41044776119402987,0.5522388059701493,68.5
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,1,134,0.7504932013020587,0.2648541917827337,0.19402985074626866,0.417910447761194,0.5298507462686567,75.0
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,2,134,0.7496441531537185,0.2733149204698594,0.208955223880597,0.41044776119402987,0.5373134328358209,73.0
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,3,134,0.7487644900136919,0.2589378956159807,0.19402985074626866,0.41044776119402987,0.5223880597014925,57.0
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,4,134,0.7478164816970256,0.2491757292255086,0.1865671641791045,0.39552238805970147,0.5298507462686567,69.5
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,5,134,0.745628356488783,0.22710825309227492,0.16417910447761194,0.3656716417910448,0.5,103.5
google/embeddinggemma-300m,0,134,0.46015216488001953,0.6555987164842053,0.6119402985074627,0.7164179104477612,0.7985074626865671,1.0
google/embeddinggemma-300m,1,134,0.46012567561953815,0.6607161966046522,0.6194029850746269,0.7089552238805971,0.7985074626865671,1.0
google/embeddinggemma-300m,2,134,0.4548310174870847,0.6249908776160175,0.582089552238806,0.6865671641791045,0.7985074626865671,1.0
google/embeddinggemma-300m,3,134,0.4550504814555396,0.619689214019613,0.5746268656716418,0.6865671641791045,0.7985074626865671,1.0
google/embeddinggemma-300m,4,134,0.45415204207398996,0.6241045670655255,0.582089552238806,0.6865671641791045,0.7985074626865671,1.0
google/embeddinggemma-300m,5,134,0.453299652173448,0.6211158793326947,0.5746268656716418,0.7014925373134329,0.7985074626865671,1.0
ibm-granite/granite-embedding-278m-multilingual,0,134,0.7170584437562458,0.469635985966553,0.417910447761194,0.5522388059701493,0.6492537313432836,3.0
ibm-granite/granite-embedding-278m-multilingual,1,134,0.7178047330521825,0.4731855294026585,0.4253731343283582,0.5522388059701493,0.6492537313432836,3.5
ibm-granite/granite-embedding-278m-multilingual,2,134,0.7149954736232758,0.44708988569248903,0.40298507462686567,0.5373134328358209,0.6492537313432836,4.5
ibm-granite/granite-embedding-278m-multilingual,3,134,0.7145588300121364,0.44933288916740804,0.41044776119402987,0.5522388059701493,0.6492537313432836,5.5
ibm-granite/granite-embedding-278m-multilingual,4,134,0.7143439388097222,0.4454732857510782,0.40298507462686567,0.5522388059701493,0.6417910447761194,6.0
ibm-granite/granite-embedding-278m-multilingual,5,134,0.7141977063755491,0.44263985037471437,0.39552238805970147,0.5373134328358209,0.6417910447761194,5.0
intfloat/multilingual-e5-large-instruct,0,134,0.8329051919837496,0.26778400030490734,0.23134328358208955,0.3358208955223881,0.582089552238806,49.0
intfloat/multilingual-e5-large-instruct,1,134,0.8334957032061335,0.2759265773327723,0.23880597014925373,0.3358208955223881,0.5746268656716418,48.5
intfloat/multilingual-e5-large-instruct,2,134,0.8331675903121037,0.2656968661244361,0.21641791044776118,0.34328358208955223,0.5522388059701493,53.0
intfloat/multilingual-e5-large-instruct,3,134,0.8330913092663039,0.27449282664443686,0.23134328358208955,0.35074626865671643,0.5597014925373134,50.0
intfloat/multilingual-e5-large-instruct,4,134,0.8333543628009398,0.2829239677784841,0.2462686567164179,0.34328358208955223,0.5447761194029851,52.0
intfloat/multilingual-e5-large-instruct,5,134,0.8332768256094918,0.27030507564641326,0.22388059701492538,0.35074626865671643,0.5373134328358209,49.0
nomic-ai/nomic-embed-text-v2-moe,0,134,0.5090691973246745,0.5200872240122795,0.4552238805970149,0.6268656716417911,0.7238805970149254,2.0
nomic-ai/nomic-embed-text-v2-moe,1,134,0.5098023028738463,0.5438384988690389,0.4925373134328358,0.6343283582089553,0.7238805970149254,2.0
nomic-ai/nomic-embed-text-v2-moe,2,134,0.5055259371648974,0.5125565201558571,0.4626865671641791,0.6119402985074627,0.7164179104477612,2.0
nomic-ai/nomic-embed-text-v2-moe,3,134,0.504716985038857,0.5180849501962125,0.4626865671641791,0.6194029850746269,0.7164179104477612,2.0
nomic-ai/nomic-embed-text-v2-moe,4,134,0.5036557175552667,0.5117771015787766,0.4626865671641791,0.5895522388059702,0.7089552238805971,2.0
nomic-ai/nomic-embed-text-v2-moe,5,134,0.5035291410871406,0.5031396782586907,0.44776119402985076,0.5895522388059702,0.7089552238805971,2.0
sentence-transformers/LaBSE,0,134,0.5163757300643779,0.3023720484614206,0.2462686567164179,0.373134328358209,0.5074626865671642,66.5
sentence-transformers/LaBSE,1,134,0.5151256645348534,0.31529367757094984,0.26865671641791045,0.373134328358209,0.5223880597014925,77.0
