model,query_language,depth,n,mean_cos,mrr,recall_at_10,recall_at_100
Alibaba-NLP/gte-multilingual-base,de,0,26,0.7547683578271133,0.00046455920661742745,0.0,0.0
Alibaba-NLP/gte-multilingual-base,de,1,26,0.7547503388845004,0.0004079820117768091,0.0,0.0
Alibaba-NLP/gte-multilingual-base,de,2,26,0.7540006775122422,0.0003771940777922374,0.0,0.0
Alibaba-NLP/gte-multilingual-base,de,3,26,0.7550276724191812,0.00035798157128690954,0.0,0.0
Alibaba-NLP/gte-multilingual-base,de,4,26,0.7562891840934753,0.00033825299339418146,0.0,0.0
Alibaba-NLP/gte-multilingual-base,de,5,26,0.7554293595827543,0.00029081394544953996,0.0,0.0
Alibaba-NLP/gte-multilingual-base,en,0,27,0.8245030200039899,0.05787439404470942,0.07407407407407407,0.14814814814814814
Alibaba-NLP/gte-multilingual-base,en,1,27,0.8240846483795731,0.05803502595843714,0.07407407407407407,0.18518518518518517
Alibaba-NLP/gte-multilingual-base,en,2,27,0.8233416411611769,0.04234901732394489,0.037037037037037035,0.14814814814814814
Alibaba-NLP/gte-multilingual-base,en,3,27,0.81920075195807,0.03947330449947119,0.037037037037037035,0.1111111111111111
Alibaba-NLP/gte-multilingual-base,en,4,27,0.818058066897922,0.05678030347372231,0.07407407407407407,0.1111111111111111
Alibaba-NLP/gte-multilingual-base,en,5,27,0.8171982191227101,0.056898971894575996,0.07407407407407407,0.1111111111111111
Alibaba-NLP/gte-multilingual-base,es,0,27,0.777792787110364,0.00042112880633662534,0.0,0.0
Alibaba-NLP/gte-multilingual-base,es,1,27,0.7774768118505124,0.0004330066254048955,0.0,0.0
Alibaba-NLP/gte-multilingual-base,es,2,27,0.7779807404235557,0.00032894898125452416,0.0,0.0
Alibaba-NLP/gte-multilingual-base,es,3,27,0.7764236463440789,0.00033956154671018135,0.0,0.0
Alibaba-NLP/gte-multilingual-base,es,4,27,0.7753422922558255,0.000345697422634185,0.0,0.0
Alibaba-NLP/gte-multilingual-base,es,5,27,0.7777873829559043,0.00041736217650389484,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,0,27,0.7803617428850245,0.00034094130469421375,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,1,27,0.781559635091711,0.0004161286566322451,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,2,27,0.7803285894570527,0.0003969121049267009,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,3,27,0.7803790260244299,0.0004241061102711237,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,4,27,0.7790962832945364,0.0004013519703834541,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,5,27,0.7805195163797449,0.00043146361485427815,0.0,0.0
Alibaba-NLP/gte-multilingual-base,zh,0,27,0.7140977470963089,0.000890330584434623,0.0,0.037037037037037035
Alibaba-NLP/gte-multilingual-base,zh,1,27,0.7149448218169036,0.0010606671864486646,0.0,0.037037037037037035
Alibaba-NLP/gte-multilingual-base,zh,2,27,0.7150291932953728,0.0007868248829209986,0.0,0.037037037037037035
Alibaba-NLP/gte-multilingual-base,zh,3,27,0.7157255764360781,0.0006667803570991747,0.0,0.0
Alibaba-NLP/gte-multilingual-base,zh,4,27,0.7167275570057057,0.0007263300276812999,0.0,0.0
Alibaba-NLP/gte-multilingual-base,zh,5,27,0.7153906535219263,0.0005749910031533538,0.0,0.0
BAAI/bge-m3,de,0,26,0.5727297021792486,0.5708533322450531,0.6538461538461539,0.7307692307692307
BAAI/bge-m3,de,1,26,0.5741668515480481,0.6043331458876676,0.6538461538461539,0.7307692307692307
BAAI/bge-m3,de,2,26,0.5699358582496643,0.5653121978095835,0.6153846153846154,0.7307692307692307
BAAI/bge-m3,de,3,26,0.5669902047285666,0.5671265649693988,0.6153846153846154,0.7692307692307693
BAAI/bge-m3,de,4,26,0.5654996037483215,0.5466508367349177,0.6153846153846154,0.8076923076923077
BAAI/bge-m3,de,5,26,0.5636222053032655,0.5647951422785475,0.6153846153846154,0.7692307692307693
BAAI/bge-m3,en,0,27,0.6005823634288929,0.6188716378571938,0.7407407407407407,0.8148148148148148
BAAI/bge-m3,en,1,27,0.6015906355999134,0.6832768185153313,0.7777777777777778,0.8148148148148148
BAAI/bge-m3,en,2,27,0.5956239678241588,0.6396222022908065,0.7407407407407407,0.8148148148148148
BAAI/bge-m3,en,3,27,0.5919523382628405,0.6412321473058661,0.7407407407407407,0.8148148148148148
BAAI/bge-m3,en,4,27,0.5899015422220584,0.6366120485471494,0.7407407407407407,0.7777777777777778
BAAI/bge-m3,en,5,27,0.5871808573051736,0.6024238373882769,0.7037037037037037,0.7777777777777778
BAAI/bge-m3,es,0,27,0.5920797652668424,0.6093968560055502,0.7037037037037037,0.8518518518518519
BAAI/bge-m3,es,1,27,0.5924303708253084,0.6350478207231114,0.7407407407407407,0.8518518518518519
BAAI/bge-m3,es,2,27,0.5896922360967707,0.6353721998996557,0.7407407407407407,0.8518518518518519
BAAI/bge-m3,es,3,27,0.589252977459519,0.6342559444068532,0.7407407407407407,0.8518518518518519
BAAI/bge-m3,es,4,27,0.587535059010541,0.6338490016838818,0.7777777777777778,0.8518518518518519
BAAI/bge-m3,es,5,27,0.5868706493465988,0.5938622216643026,0.7407407407407407,0.8518518518518519
BAAI/bge-m3,fr,0,27,0.56891847870968,0.581269841288779,0.7037037037037037,0.7037037037037037
BAAI/bge-m3,fr,1,27,0.56914308336046,0.5984668339935126,0.7037037037037037,0.7407407407407407
BAAI/bge-m3,fr,2,27,0.5667161599353507,0.5576272427143244,0.7037037037037037,0.7407407407407407
BAAI/bge-m3,fr,3,27,0.5657628575960795,0.5325914244765767,0.7037037037037037,0.7407407407407407
BAAI/bge-m3,fr,4,27,0.565293699502945,0.5484141887288574,0.6296296296296297,0.7407407407407407
BAAI/bge-m3,fr,5,27,0.5644021067354414,0.5772684473711898,0.6296296296296297,0.7407407407407407
BAAI/bge-m3,zh,0,27,0.5379118676538821,0.44950616442480934,0.5185185185185185,0.7037037037037037
BAAI/bge-m3,zh,1,27,0.5379424249684369,0.4453163472305513,0.5555555555555556,0.7037037037037037
BAAI/bge-m3,zh,2,27,0.5347623880262729,0.41378353363401743,0.5185185185185185,0.6666666666666666
BAAI/bge-m3,zh,3,27,0.5389516982767317,0.4683815080187071,0.5555555555555556,0.6666666666666666
BAAI/bge-m3,zh,4,27,0.5386616124047173,0.45818214251991285,0.5185185185185185,0.7407407407407407
