model,mode_added,n,mean_cos_drop
Alibaba-NLP/gte-multilingual-base,B,103,0.001377396213198171
Alibaba-NLP/gte-multilingual-base,C,114,0.0007991450920439603
Alibaba-NLP/gte-multilingual-base,D,236,0.0001237420207363064
Alibaba-NLP/gte-multilingual-base,F,217,-0.0005583241238572081
BAAI/bge-m3,B,103,-0.0008429161553243989
BAAI/bge-m3,C,114,0.0026531470449347246
BAAI/bge-m3,D,236,0.0002651849793175519
BAAI/bge-m3,F,217,0.0025359006246663458
Qwen/Qwen3-Embedding-0.6B,B,103,-0.001007044633615364
Qwen/Qwen3-Embedding-0.6B,C,114,-0.0002917605533934476
Qwen/Qwen3-Embedding-0.6B,D,236,0.0021561184045621904
Qwen/Qwen3-Embedding-0.6B,F,217,0.0029764384855323124
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,B,103,-0.0002564573750912564
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,C,114,0.0009747738378089771
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,D,236,0.0010916977110555616
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,F,217,0.0017272742113210089
google/embeddinggemma-300m,B,103,0.0020195914124979558
google/embeddinggemma-300m,C,114,0.0007026153698302151
google/embeddinggemma-300m,D,236,0.0015418394389799086
google/embeddinggemma-300m,F,217,0.001226942522734541
ibm-granite/granite-embedding-278m-multilingual,B,103,-0.0006989709381918306
ibm-granite/granite-embedding-278m-multilingual,C,114,0.0004732289858031691
ibm-granite/granite-embedding-278m-multilingual,D,236,0.0006920318987409948
ibm-granite/granite-embedding-278m-multilingual,F,217,0.0010970745767865861
intfloat/multilingual-e5-large-instruct,B,103,-0.0015102196665643488
intfloat/multilingual-e5-large-instruct,C,114,-0.0010395316701186331
intfloat/multilingual-e5-large-instruct,D,236,0.0001811981201171875
intfloat/multilingual-e5-large-instruct,F,217,0.0008363943495508713
nomic-ai/nomic-embed-text-v2-moe,B,103,-0.002859897549869945
nomic-ai/nomic-embed-text-v2-moe,C,114,0.00015479744526377895
nomic-ai/nomic-embed-text-v2-moe,D,236,0.0009462101605989165
nomic-ai/nomic-embed-text-v2-moe,F,217,0.0036681312295149
sentence-transformers/LaBSE,B,103,-0.00017245244053961005
sentence-transformers/LaBSE,C,114,0.0013080824885452003
sentence-transformers/LaBSE,D,236,0.0016310398103827138
sentence-transformers/LaBSE,F,217,0.0025447222494309947
