model,query_language,depth,n,mean_cos,mrr,recall_at_10,recall_at_100
Alibaba-NLP/gte-multilingual-base,de,0,26,0.7547683578271133,0.00046455920661742745,0.0,0.0
Alibaba-NLP/gte-multilingual-base,de,1,26,0.7547503388845004,0.0004079820117768091,0.0,0.0
Alibaba-NLP/gte-multilingual-base,de,2,26,0.7540006775122422,0.0003771940777922374,0.0,0.0
Alibaba-NLP/gte-multilingual-base,de,3,26,0.7550276724191812,0.00035798157128690954,0.0,0.0
Alibaba-NLP/gte-multilingual-base,de,4,26,0.7562891840934753,0.00033825299339418146,0.0,0.0
Alibaba-NLP/gte-multilingual-base,de,5,26,0.7554293595827543,0.00029081394544953996,0.0,0.0
Alibaba-NLP/gte-multilingual-base,en,0,27,0.8245030200039899,0.05787439404470942,0.07407407407407407,0.14814814814814814
Alibaba-NLP/gte-multilingual-base,en,1,27,0.8240846483795731,0.05803502595843714,0.07407407407407407,0.18518518518518517
Alibaba-NLP/gte-multilingual-base,en,2,27,0.8233416411611769,0.04234901732394489,0.037037037037037035,0.14814814814814814
Alibaba-NLP/gte-multilingual-base,en,3,27,0.81920075195807,0.03947330449947119,0.037037037037037035,0.1111111111111111
Alibaba-NLP/gte-multilingual-base,en,4,27,0.818058066897922,0.05678030347372231,0.07407407407407407,0.1111111111111111
Alibaba-NLP/gte-multilingual-base,en,5,27,0.8171982191227101,0.056898971894575996,0.07407407407407407,0.1111111111111111
Alibaba-NLP/gte-multilingual-base,es,0,27,0.777792787110364,0.00042112880633662534,0.0,0.0
Alibaba-NLP/gte-multilingual-base,es,1,27,0.7774768118505124,0.0004330066254048955,0.0,0.0
Alibaba-NLP/gte-multilingual-base,es,2,27,0.7779807404235557,0.00032894898125452416,0.0,0.0
Alibaba-NLP/gte-multilingual-base,es,3,27,0.7764236463440789,0.00033956154671018135,0.0,0.0
Alibaba-NLP/gte-multilingual-base,es,4,27,0.7753422922558255,0.000345697422634185,0.0,0.0
Alibaba-NLP/gte-multilingual-base,es,5,27,0.7777873829559043,0.00041736217650389484,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,0,27,0.7803617428850245,0.00034094130469421375,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,1,27,0.781559635091711,0.0004161286566322451,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,2,27,0.7803285894570527,0.0003969121049267009,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,3,27,0.7803790260244299,0.0004241061102711237,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,4,27,0.7790962832945364,0.0004013519703834541,0.0,0.0
Alibaba-NLP/gte-multilingual-base,fr,5,27,0.7805195163797449,0.00043146361485427815,0.0,0.0
Alibaba-NLP/gte-multilingual-base,zh,0,27,0.7140977470963089,0.000890330584434623,0.0,0.037037037037037035
Alibaba-NLP/gte-multilingual-base,zh,1,27,0.7149448218169036,0.0010606671864486646,0.0,0.037037037037037035
Alibaba-NLP/gte-multilingual-base,zh,2,27,0.7150291932953728,0.0007868248829209986,0.0,0.037037037037037035
Alibaba-NLP/gte-multilingual-base,zh,3,27,0.7157255764360781,0.0006667803570991747,0.0,0.0
Alibaba-NLP/gte-multilingual-base,zh,4,27,0.7167275570057057,0.0007263300276812999,0.0,0.0
Alibaba-NLP/gte-multilingual-base,zh,5,27,0.7153906535219263,0.0005749910031533538,0.0,0.0
