model,query_language,depth,n,mean_cos,mrr,recall_at_10,recall_at_100
BAAI/bge-m3,de,0,26,0.5727297021792486,0.5708533322450531,0.6538461538461539,0.7307692307692307
BAAI/bge-m3,de,1,26,0.5741668515480481,0.6043331458876676,0.6538461538461539,0.7307692307692307
BAAI/bge-m3,de,2,26,0.5699358582496643,0.5653121978095835,0.6153846153846154,0.7307692307692307
BAAI/bge-m3,de,3,26,0.5669902047285666,0.5671265649693988,0.6153846153846154,0.7692307692307693
BAAI/bge-m3,de,4,26,0.5654996037483215,0.5466508367349177,0.6153846153846154,0.8076923076923077
BAAI/bge-m3,de,5,26,0.5636222053032655,0.5647951422785475,0.6153846153846154,0.7692307692307693
BAAI/bge-m3,en,0,27,0.6005823634288929,0.6188716378571938,0.7407407407407407,0.8148148148148148
BAAI/bge-m3,en,1,27,0.6015906355999134,0.6832768185153313,0.7777777777777778,0.8148148148148148
BAAI/bge-m3,en,2,27,0.5956239678241588,0.6396222022908065,0.7407407407407407,0.8148148148148148
BAAI/bge-m3,en,3,27,0.5919523382628405,0.6412321473058661,0.7407407407407407,0.8148148148148148
BAAI/bge-m3,en,4,27,0.5899015422220584,0.6366120485471494,0.7407407407407407,0.7777777777777778
BAAI/bge-m3,en,5,27,0.5871808573051736,0.6024238373882769,0.7037037037037037,0.7777777777777778
BAAI/bge-m3,es,0,27,0.5920797652668424,0.6093968560055502,0.7037037037037037,0.8518518518518519
BAAI/bge-m3,es,1,27,0.5924303708253084,0.6350478207231114,0.7407407407407407,0.8518518518518519
BAAI/bge-m3,es,2,27,0.5896922360967707,0.6353721998996557,0.7407407407407407,0.8518518518518519
BAAI/bge-m3,es,3,27,0.589252977459519,0.6342559444068532,0.7407407407407407,0.8518518518518519
BAAI/bge-m3,es,4,27,0.587535059010541,0.6338490016838818,0.7777777777777778,0.8518518518518519
BAAI/bge-m3,es,5,27,0.5868706493465988,0.5938622216643026,0.7407407407407407,0.8518518518518519
BAAI/bge-m3,fr,0,27,0.56891847870968,0.581269841288779,0.7037037037037037,0.7037037037037037
BAAI/bge-m3,fr,1,27,0.56914308336046,0.5984668339935126,0.7037037037037037,0.7407407407407407
BAAI/bge-m3,fr,2,27,0.5667161599353507,0.5576272427143244,0.7037037037037037,0.7407407407407407
BAAI/bge-m3,fr,3,27,0.5657628575960795,0.5325914244765767,0.7037037037037037,0.7407407407407407
BAAI/bge-m3,fr,4,27,0.565293699502945,0.5484141887288574,0.6296296296296297,0.7407407407407407
BAAI/bge-m3,fr,5,27,0.5644021067354414,0.5772684473711898,0.6296296296296297,0.7407407407407407
BAAI/bge-m3,zh,0,27,0.5379118676538821,0.44950616442480934,0.5185185185185185,0.7037037037037037
BAAI/bge-m3,zh,1,27,0.5379424249684369,0.4453163472305513,0.5555555555555556,0.7037037037037037
BAAI/bge-m3,zh,2,27,0.5347623880262729,0.41378353363401743,0.5185185185185185,0.6666666666666666
BAAI/bge-m3,zh,3,27,0.5389516982767317,0.4683815080187071,0.5555555555555556,0.6666666666666666
BAAI/bge-m3,zh,4,27,0.5386616124047173,0.45818214251991285,0.5185185185185185,0.7407407407407407
BAAI/bge-m3,zh,5,27,0.5391233960787455,0.44374920094282033,0.5185185185185185,0.7407407407407407
