model,query_language,depth,n,mean_cos,mrr,recall_at_10,recall_at_100
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,de,0,26,0.7456960678100586,0.208678077721923,0.34615384615384615,0.5
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,de,1,26,0.7457454044085282,0.2054473444827491,0.34615384615384615,0.5
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,de,2,26,0.7447073390850654,0.20905582435504966,0.3076923076923077,0.5
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,de,3,26,0.7438776974494641,0.17545738203189304,0.3076923076923077,0.46153846153846156
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,de,4,26,0.7433191560781919,0.19879046944536688,0.3076923076923077,0.46153846153846156
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,de,5,26,0.7405751897738531,0.19481274636323392,0.2692307692307692,0.46153846153846156
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,en,0,27,0.7703924775123596,0.4062412581816632,0.5185185185185185,0.6666666666666666
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,en,1,27,0.7698539627922906,0.43059920226111664,0.5555555555555556,0.6666666666666666
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,en,2,27,0.7685890793800354,0.4317870095269149,0.5925925925925926,0.6296296296296297
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,en,3,27,0.7678711370185569,0.4298365230214162,0.5925925925925926,0.6296296296296297
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,en,4,27,0.7670687635739645,0.3780839213991572,0.5925925925925926,0.6296296296296297
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,en,5,27,0.7644999777829206,0.32537194414214476,0.5185185185185185,0.6296296296296297
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,es,0,27,0.7625949846373664,0.3421861817794926,0.48148148148148145,0.6666666666666666
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,es,1,27,0.7612466392693696,0.31920975835052595,0.48148148148148145,0.5925925925925926
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,es,2,27,0.7609625569096318,0.33414883212789886,0.48148148148148145,0.7037037037037037
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,es,3,27,0.7595618455498306,0.3279864538436683,0.48148148148148145,0.7037037037037037
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,es,4,27,0.7582187829194246,0.32241322016665197,0.4074074074074074,0.7037037037037037
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,es,5,27,0.7553310239756549,0.27364726742255535,0.4074074074074074,0.5925925925925926
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,fr,0,27,0.7289871772130331,0.17814538508062688,0.2962962962962963,0.4074074074074074
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,fr,1,27,0.728172896084962,0.16877453060863207,0.2962962962962963,0.37037037037037035
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,fr,2,27,0.7274176588764897,0.17170308145638474,0.2962962962962963,0.37037037037037035
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,fr,3,27,0.726259814368354,0.13789517922225375,0.2962962962962963,0.3333333333333333
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,fr,4,27,0.7256741258833144,0.13023782264622866,0.2962962962962963,0.3333333333333333
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,fr,5,27,0.724269966284434,0.12634340828643018,0.25925925925925924,0.2962962962962963
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,zh,0,27,0.747035370932685,0.19695736881256562,0.4074074074074074,0.5185185185185185
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,zh,1,27,0.7472712596257528,0.19803986960694145,0.4074074074074074,0.5185185185185185
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,zh,2,27,0.7463612865518641,0.21749988836027803,0.37037037037037035,0.48148148148148145
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,zh,3,27,0.7460709633650603,0.22042206908718748,0.37037037037037035,0.48148148148148145
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,zh,4,27,0.7446350124147203,0.21448709173754055,0.37037037037037035,0.5185185185185185
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,zh,5,27,0.7432784703042772,0.21416976936815704,0.37037037037037035,0.5185185185185185
