model,query_language,depth,n,mean_cos,mrr,recall_at_10,recall_at_100
google/embeddinggemma-300m,de,0,26,0.45470834924624515,0.6390065801456584,0.6923076923076923,0.7692307692307693
google/embeddinggemma-300m,de,1,26,0.455997870518611,0.6585903182819245,0.6923076923076923,0.7692307692307693
google/embeddinggemma-300m,de,2,26,0.4498277558730199,0.6417591591121359,0.6538461538461539,0.7692307692307693
google/embeddinggemma-300m,de,3,26,0.4494931778082481,0.6418653694533627,0.6538461538461539,0.7692307692307693
google/embeddinggemma-300m,de,4,26,0.4492540508508682,0.6420026825837193,0.6538461538461539,0.7692307692307693
google/embeddinggemma-300m,de,5,26,0.4478559809235426,0.6442083901436919,0.6923076923076923,0.7692307692307693
google/embeddinggemma-300m,en,0,27,0.49450691706604427,0.696999253044477,0.7407407407407407,0.8148148148148148
google/embeddinggemma-300m,en,1,27,0.49464232391781277,0.6957995861408124,0.7407407407407407,0.8148148148148148
google/embeddinggemma-300m,en,2,27,0.48884837826093036,0.6657539009505277,0.7407407407407407,0.8148148148148148
google/embeddinggemma-300m,en,3,27,0.48779409571930216,0.646162591713979,0.7407407407407407,0.8148148148148148
google/embeddinggemma-300m,en,4,27,0.4868846430822655,0.664299394276951,0.7407407407407407,0.8148148148148148
google/embeddinggemma-300m,en,5,27,0.4859734188627314,0.6475377551383151,0.7407407407407407,0.8148148148148148
google/embeddinggemma-300m,es,0,27,0.46616028911537594,0.7203267106786385,0.8148148148148148,0.8518518518518519
google/embeddinggemma-300m,es,1,27,0.4654446315986139,0.7325735520570292,0.8148148148148148,0.8518518518518519
google/embeddinggemma-300m,es,2,27,0.46171714586240276,0.7029460896583922,0.8148148148148148,0.8518518518518519
google/embeddinggemma-300m,es,3,27,0.46145911514759064,0.7027959774526188,0.8148148148148148,0.8518518518518519
google/embeddinggemma-300m,es,4,27,0.4597958442237642,0.7045506260738944,0.8148148148148148,0.8518518518518519
google/embeddinggemma-300m,es,5,27,0.45951976378758747,0.716877459546356,0.8148148148148148,0.8518518518518519
google/embeddinggemma-300m,fr,0,27,0.4383874977076495,0.5923449204861196,0.6666666666666666,0.7777777777777778
google/embeddinggemma-300m,fr,1,27,0.43788679385626755,0.6070997714093466,0.6296296296296297,0.7777777777777778
google/embeddinggemma-300m,fr,2,27,0.43146151966518825,0.503965676795398,0.5925925925925926,0.7777777777777778
google/embeddinggemma-300m,fr,3,27,0.43262667678020617,0.497228673277562,0.5925925925925926,0.7777777777777778
google/embeddinggemma-300m,fr,4,27,0.43248442974355483,0.4978246440063882,0.5925925925925926,0.7777777777777778
google/embeddinggemma-300m,fr,5,27,0.431483852090659,0.5004879621023363,0.5925925925925926,0.7777777777777778
google/embeddinggemma-300m,zh,0,27,0.4467961484635318,0.6287015944980388,0.6666666666666666,0.7777777777777778
google/embeddinggemma-300m,zh,1,27,0.4465038765359808,0.6094390188999734,0.6666666666666666,0.7777777777777778
google/embeddinggemma-300m,zh,2,27,0.4421149817881761,0.6111506090264526,0.6296296296296297,0.7777777777777778
google/embeddinggemma-300m,zh,3,27,0.4436735157613401,0.6112147972906811,0.6296296296296297,0.7777777777777778
google/embeddinggemma-300m,zh,4,27,0.44215983538715925,0.6125083815540149,0.6296296296296297,0.7777777777777778
google/embeddinggemma-300m,zh,5,27,0.4414636277490192,0.5973231079109595,0.6666666666666666,0.7777777777777778
