model,query_language,depth,n,mean_cos,mrr,recall_at_10,recall_at_100
Qwen/Qwen3-Embedding-0.6B,de,0,26,0.5465207054064825,0.5274277372697798,0.6153846153846154,0.8076923076923077
Qwen/Qwen3-Embedding-0.6B,de,1,26,0.5495946940321189,0.53042740605016,0.6153846153846154,0.8076923076923077
Qwen/Qwen3-Embedding-0.6B,de,2,26,0.5433010344321911,0.5276934194389206,0.6153846153846154,0.7692307692307693
Qwen/Qwen3-Embedding-0.6B,de,3,26,0.5397910865453573,0.5286949757569339,0.6538461538461539,0.7692307692307693
Qwen/Qwen3-Embedding-0.6B,de,4,26,0.5369485353048031,0.5122140704804831,0.6538461538461539,0.7692307692307693
Qwen/Qwen3-Embedding-0.6B,de,5,26,0.5357787792499249,0.505217929003874,0.6153846153846154,0.7692307692307693
Qwen/Qwen3-Embedding-0.6B,en,0,27,0.5953019217208579,0.6398811368480674,0.7407407407407407,0.8148148148148148
Qwen/Qwen3-Embedding-0.6B,en,1,27,0.5975483192337884,0.6003485280596147,0.7037037037037037,0.8148148148148148
Qwen/Qwen3-Embedding-0.6B,en,2,27,0.5918606740457041,0.5975481011421009,0.7037037037037037,0.7777777777777778
Qwen/Qwen3-Embedding-0.6B,en,3,27,0.58710699500861,0.5955745236820101,0.7037037037037037,0.7777777777777778
Qwen/Qwen3-Embedding-0.6B,en,4,27,0.5846414190751535,0.5947418727545072,0.7037037037037037,0.7777777777777778
Qwen/Qwen3-Embedding-0.6B,en,5,27,0.5837091406186422,0.5865580292431597,0.6666666666666666,0.7407407407407407
Qwen/Qwen3-Embedding-0.6B,es,0,27,0.5698737778045513,0.5511982066717711,0.7037037037037037,0.8148148148148148
Qwen/Qwen3-Embedding-0.6B,es,1,27,0.5728311593885775,0.559766164774027,0.7407407407407407,0.8148148148148148
Qwen/Qwen3-Embedding-0.6B,es,2,27,0.5682899245509395,0.5473014529396134,0.7037037037037037,0.7777777777777778
Qwen/Qwen3-Embedding-0.6B,es,3,27,0.5677916771835751,0.5575780277975834,0.6666666666666666,0.7777777777777778
Qwen/Qwen3-Embedding-0.6B,es,4,27,0.5648818126431218,0.5090467786634019,0.6666666666666666,0.7777777777777778
Qwen/Qwen3-Embedding-0.6B,es,5,27,0.5662540892759959,0.5667302637820005,0.6666666666666666,0.8148148148148148
Qwen/Qwen3-Embedding-0.6B,fr,0,27,0.5248625140499186,0.3327624586265302,0.4074074074074074,0.7037037037037037
Qwen/Qwen3-Embedding-0.6B,fr,1,27,0.526883672232981,0.33518467787574185,0.48148148148148145,0.7407407407407407
Qwen/Qwen3-Embedding-0.6B,fr,2,27,0.5224483300138403,0.3306001337524889,0.4074074074074074,0.7037037037037037
Qwen/Qwen3-Embedding-0.6B,fr,3,27,0.5222661903610936,0.33158140136562264,0.4074074074074074,0.7037037037037037
Qwen/Qwen3-Embedding-0.6B,fr,4,27,0.5210895025067859,0.329622667793499,0.37037037037037035,0.7037037037037037
Qwen/Qwen3-Embedding-0.6B,fr,5,27,0.5207524476227937,0.32620761064057774,0.3333333333333333,0.7037037037037037
Qwen/Qwen3-Embedding-0.6B,zh,0,27,0.5503453766858136,0.49657958035546873,0.6666666666666666,0.8148148148148148
Qwen/Qwen3-Embedding-0.6B,zh,1,27,0.5515298644701639,0.5173660452126819,0.6296296296296297,0.8148148148148148
Qwen/Qwen3-Embedding-0.6B,zh,2,27,0.5462899605433146,0.5106253032145432,0.6296296296296297,0.7777777777777778
Qwen/Qwen3-Embedding-0.6B,zh,3,27,0.5462129182285733,0.504288721532189,0.6296296296296297,0.8148148148148148
Qwen/Qwen3-Embedding-0.6B,zh,4,27,0.5436979477052335,0.48969444454744737,0.5925925925925926,0.8148148148148148
Qwen/Qwen3-Embedding-0.6B,zh,5,27,0.5423177381356558,0.4796993054006811,0.5925925925925926,0.8148148148148148
