id,n_latin_types,maps_to_chebi,zh_fixable,fully_fixable,example_fixable_terms
WO-2025216023-A1_zh,1,0,0,False,
WO-2024019637-A1_zh,11,0,0,False,
WO-2021215962-A1_zh,7,0,0,False,
MX-2025009867-A_zh,9,2,2,False,antagonist; fulvestrant
MX-2025004735-A_zh,1,0,0,False,
EP-4634124-A1_zh,8,0,0,False,
WO-2025206143-A1_zh,3,0,0,False,
WO-2025186644-A8_zh,2,2,2,True,Polyvinyl alcohol
EP-4584229-A1_zh,45,10,6,False,aromatics; carboxylic acid; epoxide; polyamines; vinyl
EP-4577666-A1_zh,2,0,0,False,
EP-4633583-A1_zh,6,0,0,False,
MX-2025010613-A_zh,1,0,0,False,
WO-2025203822-A1_zh,5,0,0,False,
WO-2025212049-A1_zh,2,2,2,True,ibuprofen; paracetamol
MX-2025008102-A_zh,1,0,0,False,
WO-2025216937-A1_zh,4,0,0,False,
WO-2025206130-A1_zh,1,0,0,False,
WO-2025188579-A8_zh,5,1,1,False,protein
WO-2025210609-A1_zh,2,0,0,False,
WO-2024072262-A1_zh,1,0,0,False,
EP-4504821-A1_zh,11,0,0,False,
MX-2025005856-A_zh,15,0,0,False,
WO-2025129311-A1_zh,5,0,0,False,
EP-4634119-A1_zh,3,0,0,False,
EP-4633462-A1_zh,2,0,0,False,
WO-2025170405-A1_zh,6,0,0,False,
EP-4633669-A2_zh,4,0,0,False,
WO-2025132504-A1_zh,3,1,1,False,diamine
WO-2025212234-A1_zh,1,0,0,False,
WO-2023068958-A1_zh,5,1,0,False,
EP-4623047-A1_zh,3,0,0,False,
WO-2025205793-A1_zh,8,0,0,False,
MX-2025001018-A_zh,11,1,1,False,inhibitor
WO-2025170033-A1_zh,3,0,0,False,
WO-2025007163-A1_zh,5,3,3,False,elemental sulphur; sulphur; urea
WO-2025215002-A1_zh,3,1,1,False,Rubber
WO-2025213573-A1_zh,1,0,0,False,
WO-2025158935-A1_zh,8,0,0,False,
WO-2025209205-A1_zh,4,0,0,False,
MX-2025007600-A_zh,17,1,1,False,protein
EP-4627113-A1_zh,27,3,3,False,cytosine; nucleobases; uracil
MX-2025010275-A_zh,4,0,0,False,
EP-4630368-A1_zh,2,0,0,False,
EP-4633960-A1_zh,4,1,0,False,
WO-2025170482-A1_zh,5,2,0,False,
WO-2024063632-A1_zh,16,5,5,False,ammonium; sulphuric acid; uranium; zinc
WO-2025188872-A8_zh,15,2,1,False,protein
MX-2025006041-A_zh,1,0,0,False,
WO-2025164618-A1_zh,7,0,0,False,
MX-2025008847-A_zh,4,0,0,False,
WO-2023128801-A1_zh,1,0,0,False,
WO-2025216711-A1_zh,14,0,0,False,
WO-2025212762-A1_zh,1,0,0,False,
WO-2025215476-A1_zh,5,0,0,False,
MX-2025006489-A_zh,10,0,0,False,
WO-2021215960-A1_zh,5,2,2,False,carbon dioxide
MX-2025006080-A_zh,3,0,0,False,
WO-2025170306-A1_zh,20,0,0,False,
WO-2023200364-A1_zh,11,0,0,False,
WO-2025216105-A1_zh,9,0,0,False,
WO-2025206959-A1_zh,4,0,0,False,
MX-2025009598-A_zh,1,0,0,False,
WO-2025095807-A1_zh,17,2,1,False,fillers
EP-4626593-A1_zh,8,0,0,False,
MX-2025010354-A_zh,2,1,1,False,ethane
WO-2025073021-A1_zh,1,0,0,False,
WO-2025183515-A1_zh,5,1,1,False,Ethylene
MX-2025008929-A_zh,5,0,0,False,
WO-2025068022-A1_zh,12,0,0,False,
WO-2025216492-A1_zh,6,1,0,False,
EP-4634379-A1_zh,2,0,0,False,
EP-4562111-A1_zh,19,1,1,False,methane
WO-2024073831-A1_zh,1,0,0,False,
MX-2025010051-A_zh,15,5,3,False,amide; benzotriazole; siloxane
MX-2025004821-A_zh,3,0,0,False,
EP-4634148-A1_zh,8,1,1,False,ligand
EP-4630558-A2_zh,2,0,0,False,
WO-2025211301-A1_zh,2,0,0,False,
WO-2025187134-A8_zh,3,0,0,False,
EP-4584402-A1_zh,2,0,0,False,
EP-4577789-A1_zh,1,0,0,False,
EP-4633613-A1_zh,3,2,1,False,montelukast
MX-2025009666-A_zh,10,3,1,False,Ethylene
WO-2025204148-A1_zh,2,0,0,False,
WO-2025212655-A1_zh,12,1,0,False,
WO-2025207822-A1_zh,2,0,0,False,
MX-2025008259-A_zh,2,0,0,False,
WO-2025217308-A1_zh,6,0,0,False,
WO-2025186837-A8_zh,4,2,1,False,uridine
MX-2025009841-A_zh,17,1,0,False,
WO-2025188899-A8_zh,1,0,0,False,
WO-2025211235-A1_zh,1,0,0,False,
WO-2024123214-A1_zh,9,2,0,False,
EP-4504829-A1_zh,11,0,0,False,
WO-2025187167-A8_zh,3,3,3,True,hemicellulose; lignin; saccharides
WO-2025132391-A1_zh,28,0,0,False,
WO-2024119253-A1_zh,7,1,1,False,phosphate
MX-2025005711-A_zh,5,0,0,False,
MX-2025009399-A_zh,4,0,0,False,
WO-2025127968-A3_zh,8,0,0,False,
EP-4634142-A1_zh,15,2,2,False,propionic acid
EP-4633584-A1_zh,4,0,0,False,
WO-2025173723-A1_zh,4,0,0,False,
EP-4633735-A1_zh,6,0,0,False,
WO-2025159134-A1_zh,22,7,6,False,acrylic acid; benzoyl group; ether; urethane
WO-2025144083-A1_zh,2,0,0,False,
WO-2025212772-A1_zh,1,0,0,False,
WO-2023128829-A1_zh,1,0,0,False,
EP-4623055-A1_zh,21,8,6,False,methacrylic acid; oxide; saccharide; sulfate; vinyl
WO-2025192747-A1_zh,12,0,0,False,
MX-2025001644-A_zh,1,0,0,False,
WO-2025173342-A1_zh,5,0,0,False,
EP-4630253-A1_zh,6,0,0,False,
WO-2025206977-A1_zh,29,0,0,False,
WO-2025215400-A1_zh,16,4,3,False,carbon dioxide; carbon monoxide
WO-2025214437-A1_zh,8,3,1,False,antagonist
