publication_number,id,title,abstract
WO-2025216092-A1,WO-2025216092-A1_en,Copper nanoparticles coated by reducing agent,"Provided are copper nanoparticles that: (I) have excellent dispersibility in an organic solvent and thus makes a paste containing the copper nanoparticles from which a highly smooth coating film can be formed; and (II) have excellent sinterability at low temperatures. At least a portion of the surface layer of each of the copper nanoparticles coated by a reducing agent is a film that contains copper oxide and optionally contains copper carbonate. The surfaces of the copper nanoparticles are coated with a reducing agent, where the mass carbon concentration is 0.10% to 2.00%."
EP-4634337-A1,EP-4634337-A1_en,Laboratory scale fluid catalytic cracking unit for co-refining bio-based feedstocks,"The invention relates to a test unit, particularly for the study of catalysts in reactions involving at least one catalyst and at least one reagent, such as fluid catalytic cracking reactions. The test unit comprises a downer, separator, riser, catalyst regenerator, and optional catalyst buffer. Transport of the catalyst is performed by screw conveyors."
EP-4562081-A1,EP-4562081-A1_en,Polymer composition for laser marking,"The invention relates to a polymer composition containing a polyamide- or polyester-carrier polymer matrix into which special polymer particles are embedded, to a method for producing the polymer composition, to its use as a laser marking additive or laser welding additive in organic polymer compositions, and to a laser-markable or laser-weldable organic polymer composition containing the polymer composition."
WO-2024019637-A1,WO-2024019637-A1_en,Medicinal agent (embodiments) and device for using same,"The inventions are intended for stopping or slowing the progression of the acute phase of ischemic stroke, coronary failure and respiratory failure, and for saving injured and wounded persons suffering from heavy blood loss. A medicinal agent according to a first embodiment contains from 40 to 50 vol% helium, from 25 to 35 vol% argon, from 0.2 to 5 vol% xenon, from 2 to 10 vol% krypton, and not less than 21 vol% oxygen, to a total of 100 vol%, and the temperature of the gas mixture is 30-70°С. A medicinal agent according to a second embodiment contains from 21 to 60 vol% oxygen, from 0.2 to 35 vol% xenon, from 0.2 to 35 vol% krypton, or from 21 to 60 vol% oxygen, xenon in a concentration range of from 0.2 to 35 vol%, from 0.2 to 35 vol% krypton, and the remainder argon in an amount of not less 25 vol%, and the temperature of the gas is 15-70°С. The claimed device is characterized by a mask 1 connected to a breathing bag 7 and to a canister 12 containing an argon-xenon-krypton gas mixture, with a three-way valve for alternately supplying gases to the breathing bag 7, the device being further equipped with a canister 9 containing a helium-oxygen-argon-xenon-krypton gas mixture and having a valve mounted thereon with a manometer that is connected to the mask to permit a supply of the gas mixture directly into the mask 1, and a chemical or electric heater 11 with a connecting heat exchange line."
WO-2021215962-A1,WO-2021215962-A1_en,Method for applying a coating to items made from valve metal and alloy thereof,"The invention relates to the field of electrochemical application of coatings to the valve metals aluminium, titanium, magnesium and their alloys by the process of microarc oxidation (MAO) for a wide range of use not only on new items but also on post-operation items, in particular for restoring coatings after wear. A method includes submersion of an item in a bath with an aqueous electrolyte solution and MAO in a pulse anode-cathode mode. The MAO is performed by controlling the rate of growth of the coating at edges, corners and the centre of the item by changing the mode in the process of application of the coating using a device in which a charge unit includes a controllable pulse-increasing quasi-resonance converter with a current and voltage operating mode. The invention makes it possible to control the rate of production of the coating in different surface regions of an item, which makes it possible to obtain uniform coatings on the item in terms of thickness or a necessary thickness in regions thereof."
MX-2025009867-A,MX-2025009867-A_en,Methods for treating breast cancer,"The present disclosure is directed to methods of treating breast cancer in a subject in need thereof comprising administering to said subject a therapeutically effective amount of a radiopharmaceutical compound with GRPR antagonist moiety, e.g. [<sup>177</sup>Lu]Lu-NeoB, in combination with a CDK4/6 inhibitor, e.g. ribocicilib, and with a therapeutically effective amount of an endocrine treatment, e.g. fulvestrant."
MX-2025004735-A,MX-2025004735-A_en,Method for predicting response to a cancer treatment,"The invention relates to a method for predicting the response to an anti-cancer treatment of patients suffering from cancer, said method being based on the detection of biomarkers. The invention also relates to methods of treatment and methods for selecting a cancer patient to be treated or methods for selecting a suitable therapy for a cancer patient based on the detection of said biomarkers."
EP-4634124-A1,EP-4634124-A1_en,Method for elimination of pharmaceuticals from wastewater,"Method for eliminatoin of pharmaceuticals from wastewater by biological, photo-oxidation and sorption means consists of eliminating the pharmaceuticals from 5000 parts by weight of water at 25 °C by biologically eliminating the pharmaceuticals by adding 300 to 800 parts by weight of a filling containing Pseudomonas fluorescens bacteria encapsulated in polyvinyl alcohol lenses. The resulting mixture is maintained in buoyancy by agitation for 24 to 500 hours, then biologically pretreated water is homogenized for 3 to 7 minutes. Then the pharmaceuticals are eliminated by photooxidation for 5 to 60 minutes by UV radiation with a relative radiant power of 50 W/L of treated water from and the addition of 0.4 to 0.6 parts by weight of 30% H2O2and then by sorption by adding 45 to 55 parts by weight of a sorbent, which is iron humate or zinc humate, and applying it with agitation for 30 to 240 minutes."
WO-2025206149-A1,WO-2025206149-A1_en,"Polyether polymer, polyether electrolyte for lithium ion secondary battery, composite solid electrolyte for lithium ion secondary battery, and lithium ion secondary battery","The present invention provides: a polyether polymer capable of suppressing a side reaction with a sulfide-based solid electrolyte, and having a high ion transference number; a polyether electrolyte for a lithium ion secondary battery using the polyether polymer; a composite solid electrolyte for a lithium ion secondary battery; and a lithium ion secondary battery. The present invention relates to a polyether polymer including 20 mol% or more of an X unit, which is a constituent unit derived from a specific trimethylene oxide, in 100 mol% of constituent units."
EP-4630534-A1,EP-4630534-A1_en,Methods for increasing transfer cell density in seed culture and realizing high cell density inoculation in production cultures,The present application discloses methods for increasing transfer cell density in seed cultures and realizing high cell density inoculation in production cultures. The method for increasing the transfer cell density of a culture comprises cultivating cells by perfusion in a seed culture; and subjecting the seed culture to concentration by perfusion.
WO-2025210949-A1,WO-2025210949-A1_en,"LABELED COLLAGEN IVα1 PROTEIN, LABELED COLLAGEN IVα2 PROTEIN, NUCLEIC ACIDS ENCODING SAID PROTEINS, AND ANIMALS HAVING SAID NUCLEIC ACIDS",The present disclosure relates to: a labeled collagen IVα1 protein; a labeled collagen IVα2 protein; nucleic acids encoding said proteins; and animals having said nucleic acids. The present disclosure also relates to a method for observing the labeled collagen IVα1 protein or the labeled collagen IVα2 protein in the animals.
WO-2025186695-A8,WO-2025186695-A8_en,"Multifunctional device, device holder, kit, use of bioactive factors isolated and purified from colostrum, method for preparing enriched autologous platelet concentrates","The present invention relates to a multifunctional device (1) for collecting a biological fluid, for example whole blood, comprising: a tubular container (2) delimiting an open container end (3), a cap (5), wherein the cap (5) is fluid-tightly connected to the tubular container (2), closing the open container end (3) so that the tubular container (2) and the cap (5) enclose a collection chamber (4) configured to be depressurized and/or filled with the biological fluid, wherein the cap (5) comprises: a cap body (6) connected to the tubular fluid-tight container (2), a reversible access device (7), wherein the reversible access device (7) is fluid-tightly connected to the cap body (6), wherein the reversible access device (7) is configured to allow a reversible fluid-tight access to the collection chamber (4) without separating the cap (5) from the tubular container (2) to depressurize the collection chamber and/or collect the biological fluid in the collection chamber (4) and/or extract the biological fluid from the collection chamber (4), the cap (5) comprising at least one reservoir (8, 8') fluid-tightly connected to the cap body (6), wherein each reservoir (8, 8') delimits a respective containment chamber (9) configured to contain at least one mixing substance, wherein each reservoir (8, 8') is in a closed configuration in which the respective containment chamber (9) is fluidly isolated from the collection chamber (4), wherein each reservoir (8, 8') is configured to be operated and opened on command, switching from the closed configuration to an open configuration in which the respective containment chamber (9) is open and in communication with the collection chamber (4) keeping the cap (5) fluid-tightly connected to the tubular container (2)."
